Numeración;Ciudad;Empresa Solicitante;Area;Nestudios;Formación;Especialización;Maestría;Doctorado;Posgrado;Experiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Sintervalo;Idiomas;Salario;Vacantes;Sector de la vacante
193;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;1 a 1.5millones;Otro;1;1;Servicios
194;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;3;0;0;0;0;1;1;3.5 a 4 millones;B;2;1;Construccion
195;Medellin;Empresa confidencial;Contabilidad;2;Universitaria;0;0;0;0;1;0;0;0;1;1;0;2 a 2.5millones;Otro;1;1;Financiero
196;Cali;Empresa confidencial;Proyectos;2;Universitaria;0;0;0;0;11;0;1;1;0;1;1;18 a 21 millones;B;3;1;Tecnología
197;Cali;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;0;1;3 a 3.5 millones;Otro;2;1;Publicidad y Mercadeo
198;Bogota;Empresa confidencial;Proyectos;2;Universitaria;1;1;0;1;10;0;0;0;1;1;1;Salario a convenir;Otro;0;1;Financiero
199;Medellin;Empresa confidencial;Calidad;2;Universitaria;1;0;0;1;7;0;0;0;0;1;1;4 a 4.5 millones;Otro;2;1;Tecnología
200;Bogota;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;1;0;0;1;0;1;0;2.5 a 3 millones;Otro;2;1;Industrial
201;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;2.5 a 3 millones;Otro;2;1;Alimentos
202;Medellin;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;0;0;2 a 2.5millones;Otro;1;1;Consultorías
203;Medellin;Coroporacion Universitaria Uniminuto;Docencia;3;Especialización;0;1;0;1;3;0;0;0;0;0;0;2.5 a 3 millones;Otro;2;1;Educativo
204;Medellin;Empresa confidencial;Proyectos;2;Universitaria;0;0;0;0;4;0;0;0;0;1;1;4.5 a 5.5 millones;B;2;1;Financiero
205;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;1;0;1;2;0;0;0;0;1;1;4.5 a 5.5 millones;Otro;2;1;Estatal y relacionados
206;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;1;0;0;0;0;1;1;4 a 4.5 millones;Otro;2;1;Estatal y relacionados
207;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;3;1;0;0;0;0;1;8 a 10 millones;Otro;3;1;Asegurador
208;Bucaramanga;Empresa confidencial;Administrativa y financiera;2;Universitaria;1;0;0;1;2;0;0;0;1;0;1;4.5 a 5.5 millones;Otro;2;1;Estatal y relacionados
209;Medellin;DIAN;Administrativa y financiera;2;Universitaria;0;0;0;0;1;1;1;0;0;0;1;4.5 a 5.5 millones;Otro;2;1;Estatal y relacionados
210;Bogota;Empresa confidencial;Comercial, Ventas y Telemercadeo;2;Universitaria;0;0;0;0;1;1;0;1;0;0;1;6 a 8 millones;Otro;2;1;Asegurador
211;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;1;1;0;0;0;1;5.5 a 6 millones;Otro;2;1;Estatal y relacionados
212;Cali;DIAN;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;1;0;0;0;1;3.5 a 4 millones;Otro;2;1;Estatal y relacionados
213;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;1;0;0;0;0;1;1;Salario a convenir;B;0;1;Financiero
214;Bogota;Empresa confidencial;Administrativa y financiera;2;Universitaria;0;0;0;0;2;0;0;0;0;1;0;2 a 2.5millones;Otro;1;1;Alimentos
215;Bogota;Empresa confidencial;Proyectos;1;Técnica;0;0;0;0;3;0;0;0;0;0;0;2 a 2.5millones;Otro;1;1;Tecnología
216;Bucaramanga;Fundacion de la Mujer;Administrativa y financiera;2;Universitaria;0;0;0;0;1;1;0;0;0;1;0;2 a 2.5millones;Otro;1;1;Financiero
217;Cali;Empresa confidencial;Analista;2;Universitaria;0;0;0;0;1;0;0;0;0;1;0;1 a 1.5millones;Otro;1;1;Financiero
218;Bogota;Empresa confidencial;Auditoría, Controlaría e Intervención;2;Universitaria;0;0;0;0;1;1;1;0;0;0;0;Salario a convenir;Otro;0;1;Telecomunicaciones
