Item;Ciudad;Area;Nestudios;Estudios;Espec;Maestria;Doctorado;Posgrado;Experiencia;Aexperiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Ingles;Pingles;Sintervalos;Salario;Vacantes;Sector de la vacante
705;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;1;0;0;1;Otro;No;Otro;0;1;
706;Medellin;Comercial, ventas y servicio al cliente;1;Técnica;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;Menos de $1 millón;1;1;
707;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;1;Media;0;0;0;0;1;1;0;0;0;0;0;0;Otro;No;$2,5 a $3 millones;2;1;
708;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;1;0;1;1;Otro;No;Otro;0;1;
709;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;$2,5 a $3 millones;2;1;
710;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;0;Otro;No;$1 a $1,5 millones;1;1;
711;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;1;0;1;1;Otro;No;$1,5 a $2 millones;1;1;
712;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;Otro;No;$1 a $1,5 millones;1;1;
713;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;$2 a $2,5 millones;2;1;
714;Medellin;Comercial, ventas y servicio al cliente;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;Otro;0;1;
715;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;0;0;0;0;0;Otro;No;$3 a $3,5 millones;2;1;
716;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;1;0;Otro;No;Menos de $1 millón;1;1;
717;Medellin;otros;2;Universitaria;0;0;0;1;9;4;0;0;0;0;0;1;Otro;No;Otro;0;1;
718;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización ;1;0;0;1;5;3;0;0;0;0;0;1;Otro;No;Otro;0;1;
719;Medellin;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;No;$1,5 a $2 millones;1;1;
720;Medellin;otros;2;Universitaria;0;0;0;0;4;2;0;0;0;0;0;1;Otro;No;Otro;0;1;
