Item;Ciudad;Contratante;Area;Nestudios;Estudios;Espec;Maestria;Doctorado;Posgrado;Experiencia;Aexperiencia;Lenguajes;DatosAlma;HerraContables;HerraVisualizacion;HerraOfimaticas;OtrosConocimientos;Ing;IngF;Idiomas;Pingles;Sintervalos;SalarioN;Salario;Vacantes;Sector de la vacante
783;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
784;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
785;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
786;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
787;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
788;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
789;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
790;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
791;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
792;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
793;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
794;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
795;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
796;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
797;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
798;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
799;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
800;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;3;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
801;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
802;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
803;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
804;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
805;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
806;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
807;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
808;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
809;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
810;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
811;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
812;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
813;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
814;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
815;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
816;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
817;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
818;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
819;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
820;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
821;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
822;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
823;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
824;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
825;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
826;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
827;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
828;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
829;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;0;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
830;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;1;1;0;1;0;0;0;1;Otro;0;Otro;No;Otro;870000;0;;
831;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;0;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
832;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;3;Especialización;1;0;0;1;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
833;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;0;0;0;0;1;A1;0;A;Si;Otro;870000;0;;
834;Bucaramanga;;Administrativa, Auditoria,  Financiera, Gerencia;2;Universitaria;0;0;0;0;2;2;0;1;0;0;0;0;Otro;0;Otro;No;Otro;870000;0;;
